"","name","Desempleo","GastosEducacion","KMVia","ObesidadAdultos","LibertadCivil"
"176","Libya",NA,NA,37000,32.5,NA
"177","Sudan",NA,NA,31000,6.6,NA
"178","Tajikistan",NA,NA,30000,14.2,NA
"179","Korea, North",NA,NA,25554,6.8,NA
"180","Central African Republic",NA,NA,24000,7.5,NA
"181","Congo, Republic of the",NA,NA,23324,9.6,NA
"182","Bosnia and Herzegovina",NA,NA,22926,17.9,NA
"183","Eritrea",NA,NA,16000,5,NA
"184","Somalia",NA,NA,15000,8.3,NA
"185","Gabon",NA,NA,14300,15,NA
"186","North Macedonia",NA,NA,14182,22.4,NA
"187","Papua New Guinea",NA,NA,9349,21.3,NA
"188","Montenegro",NA,NA,7762,23.3,NA
"189","New Caledonia",NA,NA,5622,NA,NA
"190","Guinea-Bissau",NA,NA,4400,9.5,NA
"191","Haiti",NA,NA,4102,22.7,NA
"192","Equatorial Guinea",NA,NA,2880,8,NA
"193","French Polynesia",NA,NA,2590,NA,NA
"194","Kosovo",NA,NA,2012,NA,NA
"195","Dominica",NA,NA,1512,27.9,NA
"196","Virgin Islands",NA,NA,1260,NA,NA
"197","Antigua and Barbuda",NA,NA,1170,18.9,NA
"198","Grenada",NA,NA,1127,21.3,NA
"199","Isle of Man",NA,NA,1107,NA,NA
"200","Guam",NA,NA,1045,NA,NA
"201","Aruba",NA,NA,1000,NA,NA
"202","Faroe Islands",NA,NA,960,NA,NA
"203","Cayman Islands",NA,NA,785,NA,NA
"204","Liechtenstein",NA,NA,630,NA,NA
"205","Jersey",NA,NA,576,NA,NA
"206","Northern Mariana Islands",NA,NA,536,NA,NA
"207","Falkland Islands (Islas Malvinas)",NA,NA,440,NA,NA
"208","Saint Kitts and Nevis",NA,NA,383,22.9,NA
"209","Andorra",NA,NA,320,25.6,NA
"210","Cook Islands",NA,NA,295,55.9,NA
"211","Guernsey",NA,NA,260,NA,NA
"212","American Samoa",NA,NA,241,NA,NA
"213","Niue",NA,NA,234,50,NA
"214","British Virgin Islands",NA,NA,200,NA,NA
"215","Saint Helena, Ascension, and Tristan da Cunha",NA,NA,198,NA,NA
"216","Anguilla",NA,NA,175,NA,NA
"217","Christmas Island",NA,NA,142,NA,NA
"218","Palau",NA,NA,125,55.3,NA
"219","Turks and Caicos Islands",NA,NA,121,NA,NA
"220","Saint Pierre and Miquelon",NA,NA,117,NA,NA
"221","Norfolk Island",NA,NA,80,NA,NA
"222","Sint Maarten",NA,NA,53,NA,NA
"223","Saint Barthelemy",NA,NA,40,NA,NA
"224","Svalbard",NA,NA,40,NA,NA
"225","Nauru",NA,NA,30,61,NA
"226","Gibraltar",NA,NA,29,NA,NA
"227","Cocos (Keeling) Islands",NA,NA,22,NA,NA
"228","Tokelau",NA,NA,10,NA,NA
"229","Tuvalu",NA,NA,8,51.6,NA
"230","Saint Vincent and the Grenadines",NA,NA,NA,23.7,NA
"231"," Norway",NA,NA,NA,NA,9.12
"232"," New Zealand",NA,NA,NA,NA,9.71
"233"," Finland",NA,NA,NA,NA,9.41
"234"," Sweden",NA,NA,NA,NA,9.12
"235"," Iceland",NA,NA,NA,NA,9.41
"236"," Denmark",NA,NA,NA,NA,8.82
"237"," Ireland",NA,NA,NA,NA,9.41
